HSBP1	RPL36
RPS23	RPL36
ILF2	RPL36
PPA2	RPL36
ROMO1	RPL36
TPT1	RPL36
ITGB1BP3	RPL36
EEF1D	RPL36
GNB2L1	RPL36
PFDN1	RPL36
ATP5F1	RPL36
RPS15	RPL36
RPL35A	RPL36
RPL10A	RPL36
CFAP20	RPL36
ATP5G3	RPL36
TOMM22	RPL36
DAD1	RPL36
PSMA1	RPL36
FTH1	RPL36
CHCHD2	RPL36
YBX1	RPL36
EEF1B2	RPL36
GNG5	RPL36
RP11-411B6.6	RPL36
RPS2	RPL36
COX6C	RPL36
RPS4X	RPL36
OSTC	RPL36
COX4I1	RPL36
BTF3	RPL36
EEF1A1	RPL36
STX8	RPL36
RPL5	RPL36
SEC61B	RPL36
TOMM6	RPL36
NDUFA4	RPL36
RPL8	RPL36
RPL7A	RPL36
SUMO3	RPL36
YBX3	RPL36
RPS6	RPL36
PABPC1	RPL36
RPL7L1	RPL36
SPCS1	RPL36
RPL23	RPL36
ATF1	RPL36
EEF2	RPL36
H3F3B	RPL36
NUS1	RPL36
ANP32B	RPL36
ENO1	RPL36
PSMB7	RPL36
MYL12A	RPL36
PTRH2	RPL36
RPN1	RPL36
ATP5H	RPL36
LYRM4	RPL36
RP11-529K1.3	RPL36
SNRNP25	RPL36
RPL34	RPL36
UBC	RPL36
COX17	RPL36
PRDX4	RPL36
NONO	RPL36
SUMO2	RPL36
TXN	RPL36
PHB2	RPL36
EIF3E	RPL36
PPIH	RPL36
ATP5I	RPL36
LOC427708	RPL36
RPL7	RPL36
BUB3	RPL36
MRPS33	RPL36
RPLP0	RPL36
RPS28	RPL36
EIF4H	RPL36
NAP1L1	RPL36
TMA7	RPL36
SAV1	RPL36
VTI1B	RPL36
PSMA7	RPL36
NDUFA6	RPL36
NDUFA12	RPL36
MRP63	RPL36
UFD1L	RPL36
COPE	RPL36
RBBP4	RPL36
PSMB3	RPL36
NDUFB5	RPL36
CCNDBP1	RPL36
SLC25A3	RPL36
PSMD7	RPL36
POLR2E	RPL36
MRPL23	RPL36
NDUFB10	RPL36
MLF2	RPL36
COX6A1	RPL36
NDUFC2	RPL36
PPIB	RPL36
CAPZB	RPL36
NUDT16L1	RPL36
ERLIN2	RPL36
PTMS	RPL36
DDA1	RPL36
EIF2S3L	RPL36
KDELR2	RPL36
EDF1	RPL36
ZDHHC6	RPL36
COMMD2	RPL36
PSMB4	RPL36
H2AFZ	RPL36
SEC11A	RPL36
TIMM17A	RPL36
RAN	RPL36
EIF3H	RPL36
CDV3	RPL36
PSMC2	RPL36
SAR1A	RPL36
C5H14ORF166	RPL36
EIF4A2	RPL36
MRPS31	RPL36
MMS19	RPL36
STAU1	RPL36
ARHGDIA	RPL36
ATP5G1	RPL36
PRPF8	RPL36
SRPK1	RPL36
EIF3L	RPL36
TCP1	RPL36
XRN2	RPL36
KARS	RPL36
NSA2	RPL36
SNRPE	RPL36
PSMA5	RPL36
CHCHD3	RPL36
CPSF3L	RPL36
COPB2	RPL36
URP	RPL36
SRSF1	RPL36
FAM32A	RPL36
TMED2	RPL36
UTP11L	RPL36
RP11-426L16.10	RPL36
ARF1	RPL36
COPS3	RPL36
HP1BP3	RPL36
ALYREF	RPL36
SRSF7	RPL36
NCL	RPL36
PDCD5	RPL36
TSN	RPL36
IK	RPL36
UBE2K	RPL36
RAB7A	RPL36
CDC42	RPL36
OAZ1	RPL36
EIF3G	RPL36
TSG101	RPL36
NFU1	RPL36
HDAC2	RPL36
UBB	RPL36
PSMA6	RPL36
RP11-455G16.1	RPL36
SNW1	RPL36
HNRNPH1	RPL36
NACA	RPL36
SELT	RPL36
AL356585.2	RPL36
ACVR1	RPL36
PSMA3	RPL36
PNRC1	RPL36
PRDX1	RPL36
SERF1A	RPL36
PSMD1	RPL36
EBNA1BP2	RPL36
TMEM60	RPL36
BOD1	RPL36
SDHA	RPL36
TCF12	RPL36
MMGT1	RPL36
PSMB1	RPL36
ZNF207	RPL36
SEC24C	RPL36
DERL1	RPL36
TFG	RPL36
YWHAQ	RPL36
UCHL3	RPL36
GBAS	RPL36
ACTG1	RPL36
NDUFAB1	RPL36
CNBP	RPL36
MRPL18	RPL36
UBR7	RPL36
CYB5B	RPL36
VAPA	RPL36
FASTKD2	RPL36
CCT6A	RPL36
EIF6	RPL36
SAP18	RPL36
TERF2IP	RPL36
DSTN	RPL36
RP11-371E8.4	RPL36
PSMC6	RPL36
MAPRE1	RPL36
GPI	RPL36
NIFK	RPL36
COPS4	RPL36
YIPF3	RPL36
ITM2A	RPL36
EIF2B2	RPL36
PDCD6	RPL36
POLR2B	RPL36
SDCBP	RPL36
ARPC3	RPL36
CAP1	RPL36
COPB1	RPL36
CTNNB1	RPL36
MTX2	RPL36
EIF2S2	RPL36
SUMO1	RPL36
AP002884.2	RPL36
SOD1	RPL36
NUTF2	RPL36
SSR1	RPL36
WTAP	RPL36
MTPN	RPL36
RAC1	RPL36
SF3B6	RPL36
UBE2D3	RPL36
NAA50	RPL36
CCT4	RPL36
EIF2S1	RPL36
MRPL27	RPL36
RAB1A	RPL36
ATP5C1	RPL36
TARDBP	RPL36
EIF5	RPL36
DDX3X	RPL36
GNL3	RPL36
GABPA	RPL36
DHX15	RPL36
DNAJC8	RPL36
PPP4R2	RPL36
RPL14	RPL22
RPS15A	RPL22
RPL32	RPL22
RP11-849F2.7	RPL22
RPL35	RPL22
RPL30	RPL22
RPL27A	RPL22
RPL36	RPL22
RPS25	RPL22
RPS16	RPL22
RPL12	RPL22
RPL23A	RPL22
RPL27	RPL22
RPS10	RPL22
RPL19	RPL22
RPL35A	RPL22
RPS27A	RPL22
FOXRED2	RPL22
EEF1D	RPL22
RPS20	RPL22
RPL21	RPL22
RPL29	RPL22
RPL4	RPL22
RPS7	RPL22
RPS21	RPL22
RPL18A	RPL22
RPS12	RPL22
RPLP2	RPL22
RPL37A	RPL22
RPL24	RPL22
GNB2L1	RPL22
RPL37	RPL22
RPL13	RPL22
RPS11	RPL22
RPL39	RPL22
RPS24	RPL22
RPS8	RPL22
RPL15	RPL22
RPS3	RPL22
RPL10A	RPL22
EEF1B2	RPL22
RPS17	RPL22
RPLP1	RPL22
RPS29	RPL22
RPL11	RPL22
RPL5	RPL22
RPL8	RPL22
NME2	RPL22
RPS3A	RPL22
LMAN1	RPL22
RPSA	RPL22
AL356585.2	RPL22
RPS4X	RPL22
RPL38	RPL22
RPL23	RPL22
NPM1	RPL22
RPL6	RPL22
SERBP1	RPL22
RPS2	RPL22
NSA2	RPL22
SEC61B	RPL22
RPL34	RPL22
ZNF593	RPL22
RPS14	RPL22
RPS6	RPL22
RPS15	RPL22
UBA52	RPL22
EIF3H	RPL22
RPN1	RPL22
PABPC1	RPL22
SRP72	RPL22
TPT1	RPL22
EIF2S3L	RPL22
RPS23	RPL22
RPL7A	RPL22
RPL7	RPL22
ANP32B	RPL22
YBX1	RPL22
RPLP0	RPL22
SPCS3	RPL22
EIF3E	RPL22
EIF3L	RPL22
EEF2	RPL22
DAD1	RPL22
MRPL13	RPL22
RPS28	RPL22
HSBP1	RPL22
NAP1L1	RPL22
EIF3G	RPL22
EEF1A1	RPL22
SUMO3	RPL22
BTF3	RPL22
ITGB1BP3	RPL22
MYL12A	RPL22
UFD1L	RPL22
SEC13	RPL22
SUMO2	RPL22
MINOS1	RPL22
SEC11A	RPL22
HSPE1	RPL22
PHB2	RPL22
ALYREF	RPL22
ROMO1	RPL22
NCL	RPL22
EIF3I	RPL22
PRDX4	RPL22
TMEM258	RPL22
C5H11ORF58	RPL22
SPCS1	RPL22
EIF3M	RPL22
ENO1	RPL22
CFAP20	RPL22
EIF4A3	RPL22
SLC25A3	RPL22
SAV1	RPL22
PPIB	RPL22
AP000304.12	RPL22
TXN	RPL22
TMED2	RPL22
SRSF7	RPL22
COX6C	RPL22
H3F3B	RPL22
PSMA1	RPL22
PTP4A2	RPL22
BZW1	RPL22
FTH1	RPL22
TOMM22	RPL22
MAGOH2	RPL22
PPIH	RPL22
PSMB7	RPL22
COX4I1	RPL22
